date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d,letalidade_pct,recuperacao_pct,casos_por_100k,mortes_por_1M
2022-05-19,30701900,665216,0,0.0,0.0,0.0,0.0,0.0,não informado,8967.142857142857,48.857142857142854,0.0,-433.6020408163266,-3.3163265306122454,0.0,descendo,descendo,estavel,2.166693266540507,0.0,14256.506971768984,3088.947766011965
2022-05-20,30762413,665722,0,60513.0,506.0,0.0,0.1970985509040157,0.07606551856840485,não informado,13953.42857142857,101.42857142857143,0.0,-134.61224489795924,0.3367346938775516,0.0,descendo,subindo,estavel,2.164076010552228,0.0,14284.60634041987,3091.2973901484893
2022-05-21,30762413,665720,0,0.0,0.0,0.0,0.0,0.0,não informado,11474.142857142857,88.28571428571429,0.0,-305.8673469387755,-0.07142857142857142,0.0,descendo,descendo,estavel,2.1640695091116555,0.0,14284.60634041987,3091.2881030965664
2022-05-22,30791220,665854,0,28807.0,134.0,0.0,0.09364349929246447,0.020128582587273926,não informado,14690.0,100.85714285714286,0.0,-73.54081632653067,0.8571428571428571,0.0,descendo,subindo,estavel,2.1624800836082496,0.0,14297.982945657192,3091.9103355754087
2022-05-23,30803995,665891,0,12775.0,37.0,0.0,0.04148909981481734,0.005556773707149015,não informado,14585.0,96.71428571428571,0.0,-113.80612244897955,0.908163265306122,0.0,descendo,subindo,estavel,2.1617033764613973,0.0,14303.915050073021,3092.082146035985
2022-05-24,30836815,666129,0,32820.0,238.0,0.0,0.1065446218907645,0.03574158533453673,não informado,19273.571428571428,130.71428571428572,0.0,234.24489795918362,2.2551020408163276,0.0,subindo,subindo,estavel,2.1601744538143777,0.0,14319.155102278697,3093.1873052148244
2022-05-25,30851191,666261,0,14376.0,132.0,0.0,0.0466196006299613,0.01981598158915165,não informado,21327.285714285714,149.57142857142858,0.0,347.0,2.9693877551020416,0.0,subindo,subindo,estavel,2.1595957186871653,0.0,14325.830635200964,3093.8002506417433
2022-05-26,30880512,666180,0,29321.0,0.0,0.0,0.09504009099681111,0.0,não informado,25516.0,149.57142857142858,0.0,649.6428571428571,3.102040816326532,0.0,subindo,subindo,estavel,2.1572828844288594,0.0,14339.445917672709,3093.4241250388613
2022-05-27,30921145,666319,0,40633.0,139.0,0.0,0.1315813675628176,0.02086523161908193,não informado,22676.0,97.14285714285714,0.0,386.74489795918373,-0.06122448979591866,0.0,subindo,descendo,estavel,2.1548975628166422,0.0,14358.313956712112,3094.069575147511
2022-05-28,30945384,666391,0,24239.0,72.0,0.0,0.07838972327835855,0.010805635138724845,não informado,26138.714285714286,107.42857142857143,0.0,606.1938775510205,0.09183673469387799,0.0,subindo,subindo,estavel,2.1534423356969814,0.0,14369.569399290216,3094.40390901674
2022-05-29,30953579,666453,0,8195.0,62.0,0.0,0.026482140276559502,0.009303847140792718,não informado,23194.14285714286,97.14285714285714,0.0,392.90816326530614,-0.9795918367346944,0.0,subindo,descendo,estavel,2.153072508998071,0.0,14373.374768815675,3094.6918076263537
2022-05-30,30977661,666516,0,24082.0,63.0,0.0,0.07780037326216784,0.009453029696017573,não informado,24809.428571428572,100.85714285714286,0.0,469.5,-0.8571428571428571,0.0,subindo,descendo,estavel,2.151602085128377,0.0,14384.557308036183,3094.9843497619286
2022-05-31,31019038,666676,0,41377.0,160.0,0.0,0.13357044613536184,0.024005425226101097,não informado,26031.85714285714,89.71428571428571,0.0,762.3571428571428,0.3673469387755099,0.0,subindo,subindo,estavel,2.149247826447745,0.0,14403.770825407126,3095.72731391577
2022-06-01,31060017,666801,0,40979.0,125.0,0.0,0.13210919049133632,0.01874973750367495,não informado,29832.285714285714,88.71428571428571,0.0,1272.5714285714287,1.5816326530612241,0.0,subindo,subindo,estavel,2.146814665297833,0.0,14422.799530444796,3096.3077546609593
2022-06-02,31101290,666930,0,41273.0,129.0,0.0,0.13288144690970388,0.019346101760495258,não informado,31539.714285714286,107.14285714285714,0.0,1612.3265306122448,4.163265306122449,0.0,subindo,subindo,estavel,2.1443805064034325,0.0,14441.964755145738,3096.906769509994
2022-06-03,31137479,666971,0,36189.0,41.0,0.0,0.11635851760489677,0.006147571709174876,não informado,30904.85714285714,93.14285714285714,0.0,1210.8163265306123,-0.591836734693878,0.0,subindo,descendo,estavel,2.1420199111174028,0.0,14458.769211247849,3097.097154074416
2022-06-04,31137479,666971,0,0.0,0.0,0.0,0.0,0.0,não informado,27442.14285714286,82.85714285714286,0.0,1140.5714285714287,-0.3877551020408165,0.0,subindo,descendo,estavel,2.1420199111174028,0.0,14458.769211247849,3097.097154074416
2022-06-05,31137479,666971,0,0.0,0.0,0.0,0.0,0.0,não informado,26271.428571428572,74.0,0.0,827.2448979591837,-1.9183673469387759,0.0,subindo,descendo,estavel,2.1420199111174028,0.0,14458.769211247849,3097.097154074416
2022-06-06,31195118,667041,0,57639.0,70.0,0.0,0.18511132516540596,0.010495208937120205,não informado,31065.285714285714,75.0,0.0,1177.1632653061224,-1.5510204081632648,0.0,subindo,descendo,estavel,2.1382865100878927,0.0,14485.534030537397,3097.4222008917213
2022-06-07,31266163,667348,0,71045.0,307.0,0.0,0.22774396942495936,0.046024157435599906,não informado,35303.57142857143,96.0,0.0,1145.0,-2.4795918367346945,0.0,subindo,descendo,estavel,2.1344096491788904,0.0,14518.523960730945,3098.847763361905
