date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,recuperados_diarios,crescimento_casos_pct,crescimento_mortes_pct,crescimento_recuperacoes_pct,casos_7d_ma,mortes_7d_ma,recuperados_7d_ma,casos_14d_change_avg,mortes_14d_change_avg,recuperados_14d_change_avg,tendencia_casos_14d,tendencia_mortes_14d,tendencia_recuperados_14d
2021-09-09,20965338,585512,0,32823.0,824.0,0.0,0.1568039005346467,0.14092986344854008,não informado,18195.85714285714,467.0,0.0,-555.8571428571429,-16.357142857142858,0.0,descendo,descendo,estavel
2021-09-10,20981793,586148,0,16455.0,636.0,0.0,0.07848669074641201,0.10862288048750494,não informado,17174.571428571428,452.14285714285717,0.0,-562.9183673469389,-16.64285714285714,0.0,descendo,descendo,estavel
2021-09-11,20995555,586817,0,13762.0,669.0,0.0,0.0655902000367652,0.11413499662201354,não informado,16237.0,456.57142857142856,0.0,-605.6530612244899,-16.51020408163265,0.0,descendo,descendo,estavel
2021-09-12,21003416,587116,0,7861.0,299.0,0.0,0.0374412583996946,0.05095285242247583,não informado,15551.285714285714,460.57142857142856,0.0,-627.265306122449,-15.663265306122453,0.0,descendo,descendo,estavel
2021-09-13,21012064,587400,0,8648.0,284.0,0.0,0.041174254702187496,0.04837204232213055,não informado,15333.57142857143,469.7142857142857,0.0,-613.7040816326531,-13.999999999999996,0.0,descendo,descendo,estavel
2021-09-14,21025635,588078,0,13571.0,678.0,0.0,0.06458670599899181,0.11542390194075587,não informado,15328.857142857143,519.8571428571429,0.0,-563.3979591836735,-10.642857142857142,0.0,descendo,descendo,estavel
2021-09-15,21038911,588879,0,13276.0,801.0,0.0,0.06314196931507658,0.13620642159713506,não informado,15199.42857142857,598.7142857142857,0.0,-529.469387755102,-3.0714285714285716,0.0,descendo,descendo,estavel
2021-09-16,21074358,589542,0,35447.0,663.0,0.0,0.16848305504025377,0.112586796268843,não informado,15574.285714285714,575.7142857142857,0.0,-462.8979591836734,-3.8061224489795955,0.0,descendo,descendo,estavel
2021-09-17,21109695,590180,0,35337.0,638.0,0.0,0.16767770576925758,0.10821960097838661,não informado,18271.714285714286,576.0,0.0,-227.85714285714286,-2.9897959183673493,0.0,descendo,descendo,estavel
2021-09-18,21234573,590766,0,124878.0,586.0,0.0,0.5915670501160722,0.09929174150259243,não informado,34145.42857142857,564.1428571428571,0.0,932.734693877551,-3.9285714285714284,0.0,subindo,descendo,estavel
2021-09-19,21243748,591014,0,9175.0,248.0,0.0,0.04320783846230391,0.04197939624148986,não informado,34333.142857142855,556.8571428571429,0.0,931.8775510204081,-4.377551020408158,0.0,subindo,descendo,estavel
2021-09-20,21253033,591279,0,9285.0,265.0,0.0,0.04370697675381952,0.04483819334228969,não informado,34424.142857142855,554.1428571428571,0.0,965.2040816326529,-3.5714285714285716,0.0,subindo,descendo,estavel
2021-09-21,21268413,591952,0,15380.0,673.0,0.0,0.07236614181138287,0.11382105571143233,não informado,34682.57142857143,553.4285714285714,0.0,1118.7857142857142,2.03061224489796,0.0,subindo,subindo,estavel
2021-09-22,21300996,592617,0,32583.0,665.0,0.0,0.15319901865738642,0.11234018974511446,não informado,37440.71428571428,534.0,0.0,1433.816326530612,5.214285714285714,0.0,subindo,subindo,estavel
2021-09-23,21325913,593246,0,24917.0,629.0,0.0,0.11697575080526751,0.10613937838435279,não informado,35936.42857142857,529.1428571428571,0.0,1267.183673469388,4.43877551020408,0.0,subindo,subindo,estavel
2021-09-24,21344578,593926,0,18665.0,680.0,0.0,0.0875226303324036,0.1146236131385631,não informado,33554.71428571428,535.1428571428571,0.0,1170.0102040816325,5.928571428571424,0.0,subindo,subindo,estavel
2021-09-25,21358441,594466,0,13863.0,540.0,0.0,0.06494857851019589,0.09092041769513375,não informado,17695.428571428572,528.5714285714286,0.0,104.17346938775518,5.142857142857143,0.0,subindo,subindo,estavel
2021-09-26,21367297,594732,0,8856.0,266.0,0.0,0.04146370046390558,0.04474604098468205,não informado,17649.85714285714,531.1428571428571,0.0,149.8979591836734,5.040816326530611,0.0,subindo,subindo,estavel
2021-09-27,21376642,594926,0,9345.0,194.0,0.0,0.043735059235616,0.03261973460314899,não informado,17658.428571428572,521.0,0.0,166.06122448979593,3.6632653061224483,0.0,subindo,subindo,estavel
2021-09-28,21393526,595743,0,16884.0,817.0,0.0,0.07898340628055613,0.13732800381896235,não informado,17873.285714285714,541.5714285714286,0.0,181.74489795918362,1.551020408163262,0.0,subindo,subindo,estavel
2021-09-29,21410411,596424,0,16885.0,681.0,0.0,0.07892574604111544,0.11431103680613955,não informado,15630.714285714286,543.8571428571429,0.0,30.806122448979686,-3.9183673469387696,0.0,subindo,descendo,estavel
2021-09-30,21432362,597032,0,21951.0,608.0,0.0,0.10252488847598488,0.10194090110391266,não informado,15207.0,540.8571428571429,0.0,-26.234693877550985,-2.4897959183673413,0.0,descendo,descendo,estavel
2021-10-01,21450424,597522,0,18062.0,490.0,0.0,0.08427442574924779,0.08207265272213214,não informado,15120.857142857143,513.7142857142857,0.0,-225.06122448979593,-4.448979591836738,0.0,descendo,descendo,estavel
2021-10-02,21462810,597976,0,12386.0,454.0,0.0,0.05774244835440083,0.07598046599121037,não informado,14909.857142857143,501.42857142857144,0.0,-1373.969387755102,-4.4795918367346905,0.0,descendo,descendo,estavel
2021-10-03,21471963,598202,0,9153.0,226.0,0.0,0.04264586044418229,0.037794158962901524,não informado,14952.285714285714,495.7142857142857,0.0,-1384.3469387755101,-4.367346938775512,0.0,descendo,descendo,estavel
2021-10-04,21483481,598406,0,11518.0,204.0,0.0,0.05364204474458158,0.034102192904737864,não informado,15262.714285714286,497.14285714285717,0.0,-1368.673469387755,-4.071428571428568,0.0,descendo,descendo,estavel
2021-10-05,21505626,599090,0,22145.0,684.0,0.0,0.10307919838502895,0.1143036667413094,não informado,16014.285714285714,478.14285714285717,0.0,-1333.4489795918366,-5.377551020408163,0.0,descendo,descendo,estavel
2021-10-06,21524172,599660,0,18546.0,570.0,0.0,0.08623789886423208,0.09514430219165734,não informado,16251.57142857143,462.2857142857143,0.0,-1513.5102040816325,-5.122448979591837,0.0,descendo,descendo,estavel
2021-10-07,21538788,600088,0,14616.0,428.0,0.0,0.06790505112113022,0.07137377847446887,não informado,15203.714285714286,436.57142857142856,0.0,-1480.9081632653063,-6.612244897959182,0.0,descendo,descendo,estavel
2021-10-08,21557323,600718,0,18535.0,630.0,0.0,0.08605405280928528,0.10498460225833543,não informado,15271.285714285714,456.57142857142856,0.0,-1305.9591836734692,-5.612244897959182,0.0,descendo,descendo,estavel
2021-10-09,21572127,601134,0,14804.0,416.0,0.0,0.06867271970643107,0.0692504636118778,não informado,15616.714285714286,451.14285714285717,0.0,-148.47959183673473,-5.530612244897957,0.0,descendo,descendo,estavel
2021-10-10,21580539,601285,0,8412.0,151.0,0.0,0.03899476393774244,0.025119191394930247,não informado,15510.857142857143,440.42857142857144,0.0,-152.78571428571416,-6.4795918367346905,0.0,descendo,descendo,estavel
2021-10-11,21587532,601492,0,6993.0,207.0,0.0,0.03240419527983059,0.03442627040421763,não informado,14864.42857142857,440.85714285714283,0.0,-199.5714285714287,-5.724489795918369,0.0,descendo,descendo,estavel
2021-10-12,21594887,601667,0,7355.0,175.0,0.0,0.03407059222888471,0.02909431879393242,não informado,12751.57142857143,368.14285714285717,0.0,-365.8367346938775,-12.387755102040813,0.0,descendo,descendo,estavel
2021-10-13,21603259,601873,0,8372.0,206.0,0.0,0.038768436250673596,0.034238208178278016,não informado,11298.142857142857,316.14285714285717,0.0,-309.4693877551021,-16.26530612244898,0.0,descendo,descendo,estavel
2021-10-14,21618491,602445,0,15232.0,572.0,0.0,0.07050788031565051,0.09503666055795823,não informado,11386.142857142857,336.7142857142857,0.0,-272.9183673469388,-14.581632653061225,0.0,descendo,descendo,estavel
2021-10-15,21632789,602952,0,14298.0,507.0,0.0,0.06613782617852466,0.08415705998057914,não informado,10780.857142857143,319.14285714285717,0.0,-310.0,-13.897959183673464,0.0,descendo,descendo,estavel
2021-10-16,21642550,603417,0,9761.0,465.0,0.0,0.04512132023291125,0.07712056681128847,não informado,10060.42857142857,326.14285714285717,0.0,-346.3877551020409,-12.520408163265305,0.0,descendo,descendo,estavel
2021-10-17,21648735,603545,0,6185.0,128.0,0.0,0.02857796331763124,0.0212125279864505,não informado,9742.285714285714,322.85714285714283,0.0,-372.14285714285717,-12.346938775510207,0.0,descendo,descendo,estavel
2021-10-18,21658054,603747,0,9319.0,202.0,0.0,0.043046395089597615,0.033468921124356926,não informado,10074.57142857143,322.14285714285717,0.0,-370.5816326530612,-12.5,0.0,descendo,descendo,estavel
2021-10-19,21671287,604126,0,13233.0,379.0,0.0,0.06109967220508362,0.06277463904582549,não informado,10914.285714285714,351.2857142857143,0.0,-364.2857142857143,-9.06122448979592,0.0,descendo,descendo,estavel
2021-10-20,21686995,604525,0,15708.0,399.0,0.0,0.07248300481646522,0.06604582487759175,não informado,11962.285714285714,378.85714285714283,0.0,-306.37755102040825,-5.959183673469389,0.0,descendo,descendo,estavel
2021-10-21,21703981,604991,0,16986.0,466.0,0.0,0.07832343761779813,0.07708531491667012,não informado,12212.857142857143,363.7142857142857,0.0,-213.63265306122452,-5.204081632653059,0.0,descendo,descendo,estavel
2021-10-22,21717379,605438,0,13398.0,447.0,0.0,0.061730610619314494,0.0738853966422641,não informado,12084.285714285714,355.14285714285717,0.0,-227.64285714285714,-7.24489795918367,0.0,descendo,descendo,estavel
2021-10-23,21729284,605788,0,11905.0,350.0,0.0,0.05481784887577824,0.057809387583864905,não informado,12390.57142857143,338.7142857142857,0.0,-230.43877551020407,-8.030612244897961,0.0,descendo,descendo,estavel
2021-10-24,21733820,605907,0,4536.0,119.0,0.0,0.02087505506394044,0.019643835797341642,não informado,12155.0,337.42857142857144,0.0,-239.70408163265307,-7.357142857142857,0.0,descendo,descendo,estavel
2021-10-25,21741647,606114,0,7827.0,207.0,0.0,0.03601299725496944,0.03416365877931762,não informado,11941.857142857143,338.14285714285717,0.0,-208.75510204081624,-7.336734693877547,0.0,descendo,descendo,estavel
2021-10-26,21754992,606517,0,13345.0,403.0,0.0,0.06137989454064818,0.06648914230656279,não informado,11957.857142857143,341.57142857142856,0.0,-56.69387755102044,-1.8979591836734724,0.0,descendo,descendo,estavel
2021-10-27,21772116,606952,0,17124.0,435.0,0.0,0.07871296849936786,0.07172099050809788,não informado,12160.142857142857,346.7142857142857,0.0,61.57142857142857,2.1836734693877538,0.0,subindo,subindo,estavel
2021-10-28,21785802,607325,0,13686.0,373.0,0.0,0.06286021992533937,0.061454612555852856,não informado,11688.714285714286,333.42857142857144,0.0,21.61224489795924,-0.23469387755101984,0.0,subindo,descendo,estavel
2021-10-29,21798483,607733,0,12681.0,408.0,0.0,0.058207634495163404,0.06717984604618615,não informado,11586.285714285714,327.85714285714283,0.0,57.5306122448979,0.6224489795918332,0.0,subindo,subindo,estavel
