date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,casos_recuperados,crescimento_casos,crescimento_mortes,crescimento_recuperacoes,casos_7d,mortes_7d,recuperacao_7d
2022-10-11,622802836,6562536,0,690207.0,1911.0,0.0,0.11094566607809532,0.029128322377822233,0.0,482949.0,1510.4285714285713,0.0
2022-10-12,623353219,6564438,0,550383.0,1902.0,0.0,0.08837194826132745,0.028982698152055855,0.0,478288.85714285716,1469.7142857142858,0.0
2022-10-13,624016113,6566543,0,662894.0,2105.0,0.0,0.10634323843926441,0.03206672071546719,0.0,481473.28571428574,1483.0,0.0
2022-10-14,624494008,6568259,0,477895.0,1716.0,0.0,0.07658375962480957,0.026132471834875673,0.0,467568.71428571426,1471.142857142857,0.0
2022-10-15,624712097,6569036,0,218089.0,777.0,0.0,0.034922512819370394,0.011829618777213263,0.0,467436.14285714284,1480.2857142857142,0.0
2022-10-16,624904267,6569584,0,192170.0,548.0,0.0,0.03076137006516139,0.008342167709234658,0.0,463610.14285714284,1468.0,0.0
2022-10-17,625380762,6571344,0,476495.0,1760.0,0.0,0.07625087956072478,0.026790128568262465,0.0,466876.14285714284,1531.2857142857142,0.0
2022-10-18,626009472,6573191,0,628710.0,1847.0,0.0,0.1005323537598683,0.02810688346250021,0.0,458090.85714285716,1522.142857142857,0.0
2022-10-19,626536431,6575434,0,526959.0,2243.0,0.0,0.08417748030496254,0.034123456932865635,0.0,454744.5714285714,1570.857142857143,0.0
2022-10-20,627131819,6577637,0,595388.0,2203.0,0.0,0.09502847249436322,0.033503491936806,0.0,445100.85714285716,1584.857142857143,0.0
2022-10-21,627563033,6579639,0,431214.0,2002.0,0.0,0.06875970680097161,0.030436462212797697,0.0,438432.14285714284,1625.7142857142858,0.0
2022-10-22,627745374,6580259,0,182341.0,620.0,0.0,0.029055408048548965,0.009423009377870124,0.0,433325.28571428574,1603.2857142857142,0.0
2022-10-23,627906174,6580853,0,160800.0,594.0,0.0,0.025615481477048684,0.009027000305003191,0.0,428843.85714285716,1609.857142857143,0.0
2022-10-24,628292158,6582173,0,385984.0,1320.0,0.0,0.0614716045139572,0.020058190024910143,0.0,415913.71428571426,1547.0,0.0
2022-10-25,628887107,6584353,0,594949.0,2180.0,0.0,0.09469304883477472,0.03311976151340902,0.0,411090.71428571426,1594.5714285714287,0.0
2022-10-26,629354131,6586858,0,467024.0,2505.0,0.0,0.07426197719776119,0.03804474031085514,0.0,402528.5714285714,1632.0,0.0
2022-10-27,629825004,6588984,0,470873.0,2126.0,0.0,0.07481844907442103,0.03227639035181873,0.0,384740.71428571426,1621.0,0.0
2022-10-28,630188852,6590467,0,363848.0,1483.0,0.0,0.05776969756507159,0.022507263638825048,0.0,375117.0,1546.857142857143,0.0
2022-10-29,630387961,6591138,0,199109.0,671.0,0.0,0.03159513205733446,0.01018137257951523,0.0,377512.4285714286,1554.142857142857,0.0
2022-10-30,630555274,6591741,0,167313.0,603.0,0.0,0.026541274635795274,0.009148647775240028,0.0,378442.85714285716,1555.4285714285713,0.0
2022-10-31,630855587,6592962,0,300313.0,1221.0,0.0,0.0476267525438222,0.018523179232921926,0.0,366204.14285714284,1541.2857142857142,0.0
2022-11-01,631257223,6595764,0,401636.0,2802.0,0.0,0.06366528382667712,0.0424998657659486,0.0,338588.0,1630.142857142857,0.0
2022-11-02,631605553,6597350,0,348330.0,1586.0,0.0,0.055180358704584674,0.024045736020876427,0.0,321631.71428571426,1498.857142857143,0.0
2022-11-03,632099160,6599695,0,493607.0,2345.0,0.0,0.07815114950390564,0.03554457471560551,0.0,324879.4285714286,1530.142857142857,0.0
2022-11-04,632543650,6601673,0,444490.0,1978.0,0.0,0.07031966313639779,0.029971081996971075,0.0,336399.71428571426,1600.857142857143,0.0
2022-11-05,632744972,6602286,0,201322.0,613.0,0.0,0.03182736875154782,0.0092855250479689,0.0,336715.85714285716,1592.5714285714287,0.0
2022-11-06,632931615,6602830,0,186643.0,544.0,0.0,0.029497350158319394,0.008239570354874055,0.0,339477.28571428574,1584.142857142857,0.0
2022-11-07,633236212,6603974,0,304597.0,1144.0,0.0,0.04812478833120068,0.01732590419562521,0.0,340089.28571428574,1573.142857142857,0.0
2022-11-08,633687028,6605250,0,450816.0,1276.0,0.0,0.07119239099990068,0.019321699328313527,0.0,347115.0,1355.142857142857,0.0
2022-11-09,634121053,6607365,0,434025.0,2115.0,0.0,0.06849201274797122,0.032019984103553986,0.0,359357.14285714284,1430.7142857142858,0.0
2022-11-10,634581453,6609457,0,460400.0,2092.0,0.0,0.0726044337783562,0.03166163818708366,0.0,354613.28571428574,1394.5714285714287,0.0
2022-11-11,635069827,6611165,0,488374.0,1708.0,0.0,0.07696001792854164,0.025841759769372887,0.0,360882.4285714286,1356.0,0.0
2022-11-12,635312334,6611612,0,242507.0,447.0,0.0,0.038185879676503665,0.006761289424783681,0.0,366766.0,1332.2857142857142,0.0
2022-11-13,635495843,6612117,0,183509.0,505.0,0.0,0.02888484768501283,0.007638076765545225,0.0,366318.28571428574,1326.7142857142858,0.0
2022-11-14,635842682,6613462,0,346839.0,1345.0,0.0,0.054577697686057094,0.02034144283895763,0.0,372352.85714285716,1355.4285714285713,0.0
2022-11-15,636346431,6614527,0,503749.0,1065.0,0.0,0.07922541443985669,0.01610351734084206,0.0,379914.71428571426,1325.2857142857142,0.0
2022-11-16,636832747,6616833,0,486316.0,2306.0,0.0,0.07642315196704544,0.03486265911379604,0.0,387384.85714285716,1352.5714285714287,0.0
2022-11-17,637312096,6618875,0,479349.0,2042.0,0.0,0.07527078377456616,0.03086068516463994,0.0,390091.85714285716,1345.4285714285713,0.0
2022-11-18,637942820,6621234,0,630724.0,2359.0,0.0,0.09896626848268703,0.035640497818738084,0.0,410427.5714285714,1438.4285714285713,0.0
2022-11-19,638190175,6621728,0,247355.0,494.0,0.0,0.038773851236385104,0.0074608449119907255,0.0,411120.14285714284,1445.142857142857,0.0
2022-11-20,638412606,6622317,0,222431.0,589.0,0.0,0.034853404002968234,0.008894959140574787,0.0,416680.4285714286,1457.142857142857,0.0
2022-11-21,638754188,6623443,0,341582.0,1126.0,0.0,0.05350489586040537,0.017003112354784588,0.0,415929.4285714286,1425.857142857143,0.0
2022-11-22,639328415,6625184,0,574227.0,1741.0,0.0,0.08989796243809521,0.026285422853340776,0.0,425997.71428571426,1522.4285714285713,0.0
2022-11-23,639919189,6627291,0,590774.0,2107.0,0.0,0.09240540325428834,0.03180289030463154,0.0,440920.28571428574,1494.0,0.0
2022-11-24,640339580,6628690,0,420391.0,1399.0,0.0,0.06569438879570777,0.02110968116535097,0.0,432497.71428571426,1402.142857142857,0.0
2022-11-25,641037771,6630892,0,698191.0,2202.0,0.0,0.10903449073068386,0.033219233362851486,0.0,442135.85714285716,1379.7142857142858,0.0
2022-11-26,641308397,6631404,0,270626.0,512.0,0.0,0.04221685714054437,0.007721434763226425,0.0,445460.28571428574,1382.2857142857142,0.0
2022-11-27,641571858,6631994,0,263461.0,590.0,0.0,0.04108179484822807,0.008897060109744483,0.0,451321.71428571426,1382.4285714285713,0.0
2022-11-28,641977647,6633172,0,405789.0,1178.0,0.0,0.06324918946179836,0.017762380364035314,0.0,460494.14285714284,1389.857142857143,0.0
2022-11-29,642708342,6634772,0,730695.0,1600.0,0.0,0.11381938349638519,0.024121189681196267,0.0,482846.71428571426,1369.7142857142858,0.0
2022-11-30,643244123,6636401,0,535781.0,1629.0,0.0,0.08336300697961066,0.02455246389777976,0.0,474990.5714285714,1301.4285714285713,0.0
2022-12-01,643950364,6638794,0,706241.0,2393.0,0.0,0.1097936187440301,0.03605870109416233,0.0,515826.28571428574,1443.4285714285713,0.0
2022-12-02,644711955,6641139,0,761591.0,2345.0,0.0,0.11826858754598049,0.035322680595300894,0.0,524883.4285714285,1463.857142857143,0.0
2022-12-03,645011864,6641748,0,299909.0,609.0,0.0,0.04651829358430309,0.00917011374103147,0.0,529066.7142857143,1477.7142857142858,0.0
